IBZ,IBZ,IBIZ,ES,EU,38.873611,1.372778,2157498,Ibiza
MIA,MIA,MIAA,US,NA,25.792500,-80.286111,2133161,Miami
SFO,SFO,SFOA,US,NA,37.618972,-122.374889,2121779,San Francisco
LCA,LCA,LARN,CY,AS,34.877778,33.630556,2078100,Larnaca
SKG,SKG,THES,GR,EU,40.520833,22.972222,2066853,Thessaloniki
SXF,BER,BERL,DE,EU,52.366667,13.500000,2004850,Berlin
LAS,LAS,LASA,US,NA,36.080056,-115.152250,1934091,Las Vegas
CGK,JKT,CGKI,ID,AS,-6.116667,106.650000,1911192,Jakarta
HAM,HAM,HAMB,DE,EU,53.633889,9.995000,1899512,Hamburg
OTP,BUH,BUCH,RO,EU,44.566667,26.100000,1893692,Bucharest
EMA,NQT,NOTT,UK,EU,52.830000,-1.329444,1839384,Nottingham
SGN,SGN,SGNV,VN,AS,10.817222,106.657778,1835118,Ho Chi Minh City
HND,TYO,TYOA,JP,AS,35.553611,139.765833,1791690,Tokyo
BOM,BOM,IBOM,IN,AS,19.088056,72.851667,1733615,Mumbai
BON,BON,BONA,AN,SA,12.134167,-68.273333,1733615,Bonaire
SVX,SVX,EKAT,RU,EU,56.743108,60.802728,1702860,Ekaterinburg
NAP,NAP,NAPL,IT,EU,40.886111,14.291667,1681405,Naples
OPO,OPO,PORT,PT,EU,41.243611,-8.679714,1680837,Porto
BRS,BRS,BRIS,UK,EU,51.381667,-2.708889,1680725,Bristol
BLQ,BLQ,BOLO,IT,EU,44.530556,11.292500,1662936,Bologna
NCL,NCL,NEWC,UK,EU,55.037778,-1.686667,1648921,Newcastle
ADB,IZM,IZMI,TR,AS,38.283333,27.150000,1647935,Izmir
CIA,ROM,ROME,IT,EU,41.799444,12.593333,1628811,Rome
ORD,CHI,CHIA,US,NA,41.978056,-87.906111,1620094,Chicago
NCE,NCE,NICE,FR,EU,43.663889,7.217500,1615721,Nice
CTA,CTA,CATA,IT,EU,37.466139,15.062943,1607168,Catania
ACE,ACE,ARRE,ES,EU,28.937500,-13.603611,1577343,Lanzarote
STR,STR,STUT,DE,EU,48.688333,9.210000,1550173,Stuttgart
LBA,LBA,LEED,UK,EU,53.865300,-1.654700,1548503,Leeds
OVB,OVB,OVBA,RU,EU,55.016700,82.616700,1535001,Novosibirsk
LPL,LPL,LIVE,UK,EU,53.338333,-2.866667,1529171,Liverpool
CUN,CUN,CUNA,MX,NA,21.033333,-86.866667,1527729,Cancun
LPA,LPA,GRAN,ES,EU,27.932500,-15.384700,1493354,Gran Canaria
DLM,DLM,DALA,TR,AS,36.716667,28.783333,1472860,Dalaman
OSL,OSL,OSLO,NO,EU,60.200000,11.083333,1469054,Oslo
CGN,CGN,COLO,DE,EU,50.865833,7.141944,1457815,Cologne
KRR,KRR,KRAT,RU,EU,45.066667,38.916667,1360942,Krasnodar
EWR,NYC,NYCA,US,NA,40.695833,-74.171667,1356898,New York
CMB,CMB,CMBA,LK,AS,7.175000,79.884722,1341188,Colombo
PEK,BJS,BJSA,CN,AS,40.066667,116.600000,1324762,Beijing
MEX,MEX,MEXA,MX,NA,19.435278,-99.072778,1318793,Mexico City
PVG,SHA,CSHA,CN,AS,31.150000,121.780000,1298186,Shanghai
VLC,VLC,VALE,ES,EU,39.490278,-0.478611,1295590,Valencia
CAI,CAI,CAIR,EG,AF,30.137500,31.406944,1288834,Cairo
YVR,YVR,YVRA,CA,NA,49.187222,-123.185278,1270019,Vancouver
MLA,MLA,LUQA,MT,EU,35.857497,14.477500,1248039,Luqa
LIN,MIL,MILA,IT,EU,45.441667,9.277778,1233654,Milan
BOS,BOS,BOSA,US,NA,42.365000,-71.005278,1230587,Boston
KBP,IEV,KIEV,UA,EU,50.350000,30.916700,1213624,Kiev
HER,HER,CRET,GR,EU,35.340278,25.183333,1203437,Crete
CNX,CNX,CNXT,TH,AS,18.771944,98.968333,1191987,Chiang Mai
GIG,RIO,RIOA,BR,SA,-22.808889,-43.243611,1168664,Rio De Janeiro
BOG,BOG,BOGA,CO,SA,4.700000,-74.150000,1153813,Bogota
HAN,HAN,HANV,VN,AS,21.218661,105.809927,1120900,Hanoi
KRK,KRK,KRAK,PL,EU,50.077731,19.784836,1116276,Krakow
JNB,JNB,JNBA,ZA,AF,-26.133333,28.250000,1085457,Johannesburg
SVQ,SVQ,SEVI,ES,EU,37.415000,-5.897500,1075217,Seville
HAV,HAV,HAVA,CU,NA,22.989444,-82.407500,1051993,Havana
BVA,PAR,PARI,FR,EU,49.455833,2.112500,1045433,Paris
FLL,MIA,MIAA,US,NA,26.074167,-80.151667,1025503,Miami
PSA,PSA,PISA,IT,EU,43.680556,10.392778,998219,Pisa
BIO,BIO,BILB,ES,EU,43.302778,-2.921667,997015,Bilbao
HNL,HNL,HNLA,US,NA,21.325833,-157.921667,987913,Honolulu
OKA,OKA,JOKA,JP,AS,26.200000,127.650000,974976,Okinawa
ESB,ANK,ANKA,TR,AS,40.133333,33.000000,967867,Ankara
RAK,RAK,MARR,MA,AF,31.608333,-8.038333,965054,Marrakech Menara
PMO,PMO,PALE,IT,EU,38.166667,13.100000,958429,Palermo
LIM,LIM,LIMA,PE,SA,-12.024882,-77.110634,945399,Lima
